LATITUDE,LONGITUDE,MUNICIPIO
-3.74,-39.78,IRAUCUBA
-4.67,-37.82,ITAICABA
-3.96,-38.52,ITAITINGA
-3.68,-39.58,ITAPAGE
-3.36,-39.83,ITAPIPOCA
-4.56,-38.92,ITAPIUNA
-2.92,-39.91,ITAREMA
-4.52,-39.62,ITATIRA
-5.61,-38.76,JAGUARETAMA
-5.65,-38.62,JAGUARIBARA
-5.89,-38.62,JAGUARIBE
-4.83,-37.78,JAGUARUANA
-7.58,-39.29,JARDIM
-7.68,-39.01,JATI
-2.79,-40.51,JIJOCA DE JERICOACOARA
-7.21,-39.31,JUAZEIRO DO NORTE
-6.52,-39.52,JUCAS
-6.75,-38.97,LAVRAS DA MANGABEIRA
-5.14,-38.09,LIMOEIRO DO NORTE
-4.85,-39.57,MADALENA
-3.87,-38.62,MARACANAU
